series_id,data,source
series_1,"ซีรีส์เรื่อง มุ่งสู่ดาว ก้าวตามฝัน 2 Dream High 2 เป็นซีรีส์ : 60 นาที ประเภทเรท ทั่วไป ・ ตลก , โรแมนติก , ดราม่า 16 ตอน นักแสดงนำ ได้แก่ Kang So-Ra , Jinwoon , Park Ji-Yeon , Hyorin , Ailee , JB , พัคซอจุน , พัคจินยอง กำกับโดย Lee Eung-Bok เรื่องย่อคือ โรงเรียนศิลปะคิริน ปัจจุบันอยู่ในสภาวะล้มละลาย บริษัท ออซเอนเตอร์เทนเมนต์จึงเข้ามาเทคโอเวอร์และส่งดาราในสังกัดของตัวเองเข้าไปเรียน เรื่องราวการแข่งขันจึงเกิดขึ้นระหว่างนักเรียนดั้งเดิม และเหล่านักเรียนดาราที่เข้ามาภายหลัง ซึ่ง ชินแฮซอง (คังโซรา) เป็นนักเรียนที่สอบเข้ามาด้วยคะแนนที่สูงมาก แต่ในภาคปฏิบัติเธอกลับทำได้ไม่ดีเท่าไหร่ วันหนึ่งทางโรงเรียนได้มีการจัดแข่งขันออดิชั่นขึ้น เหล่าบรรดานักเรียนของคิรินจึงเข้าร่วมแข่งขัน เพื่อสานฝันที่จะได้ไปเจิดจรัสในวงการบันเทิง ส่วนแฮซองจะเข้าร่วมการแข่งขันนี้ไหม ต้องติดตามต่อใน ""Dream High 2 มุ่งสู่ดาว ก้าวตามฝัน 2"" Tag: Tag ซีรีส์เกาหลี , Dream High , ซีรีส์วัยเรียน , นักร้องเกาหลีเล่นซีรีส์ , ซีรีส์เอเชีย , รักวุ่น ๆ , GOT7 https://www.monomax.me/title/10943-dream-high-2.html",https://www.monomax.me/title/10943-dream-high-2.html
series_2,"ซีรีส์เรื่อง ไฟรักเมืองแค้น Heartless City เป็นซีรีส์ : 60 นาที ประเภทเรท ทั่วไป ・ แอ็คชั่น , ดราม่า , โรแมนติก 20 ตอน นักแสดงนำ ได้แก่ Jung Kyoung-Ho , Nam Gyu-Ri , Lee Jae-Yoon , Son Chang-Min กำกับโดย Lee Jung-Hyo เรื่องย่อคือ ชีฮยอน (จองคยองโฮ) เติบโตขึ้นมาในสถานเลี้ยงเด็กกำพร้า เขาทำงานเป็นพ่อค้ายาเสพย์ติดโดยใช้นามแฝงว่า 'หมอซัน' โดยมี สเกล (คิมบยองอ๊ก) เป็นคนผลิตยาให้ ในขณะเดียวกันฮยองมิน (อีแจยุน) ได้เข้ามาเป็นหัวหน้าหน่วยสืบสวนพิเศษ เป้าหมายของพวกเขาคือจับสเกลผู้ผลิตยารายใหญ่ให้ได้ ซึ่งก็เป็นสเกลที่ได้ฆ่า คยองมี (โกนาอึน) แฟนสาวของฮยองมินซึ่งเป็นเพื่อนสนิทของ ซูมิน (นัมกยูริ) อีกด้วย เรื่องราวดราม่าสืบสวนสอบสวนจึงยิ่งเข้มข้นขึ้น เมื่อซูมินดันไปตกหลุมรักพ่อค้ายาชีฮยอนที่มีส่วนเกี่ยวข้องกับการตายของเพื่อนรัก Tag: Tag ซีรีส์เกาหลี , ซีรีส์แนวสืบสวน , มาเฟีย , ซีรีส์เอเชีย , แก๊งสเตอร์ , รักต้องห้าม https://www.monomax.me/title/8871-heartless-city.html",https://www.monomax.me/title/8871-heartless-city.html
series_3,"ซีรีส์เรื่อง ตี๋ใหญ่ ดับ ดาว โจร The Legendary outlaw เป็นซีรีส์ : 48 นาที ประเภทเรท ทั่วไป ・ แอ็คชั่น , ผจญภัย 12 ตอน นักแสดงนำ ได้แก่ สมชาย เข็มกลัด , รัชชานนท์ เรือนเพ็ชร์ , กรกมล เจริญชัย , แฟรงค์ เดอะสตาร์ กำกับโดย นพชัย ชัยนาม เรื่องย่อคือ เรื่องราวชะตากรรมที่พลิกผันของ สองครอบครัวหนึ่งซึ่งลูกชายคือไซเรนกําลังจะมีอนาคตเป็นว่าที่นายร้อยตํารวจ กลับถูกโชคชะตาเล่นตลก นําไปสู่จุดต่ำที่สุดสูญเสียทั้งครอบครัว ต้องติดคุกกลายเป็นสายให้ตํารวจ เพราะสาเหตุมาจากคนคนเดียวคือ “ตี๋ใหญ่” อีกหนึ่งคนซึ่งมีสภาพไม่ต่างอะไรกับคนที่ตายไปแล้ว ใช้ชีวิตอยู่กับความแค้นและความเจ็บปวดในอดีต เส้นทางการล้างแค้นของทั้งคู่จึงเกิดขึ้น แต่เมื่อยิ่งค้นลึกลงไปกลับพบแต่ความจริงที่เจ็บปวดของคนทั้งคู่ เรื่องราวกลับไม่ได้ชัดเจนอย่างที่เราเห็น ไม่ได้เป็น อย่างที่เราคิดกลับมีปมความลึกลับซ่อนเงื่อนอยู่มากมาย จนในที่สุดเราจะพบว่าตี๋ใหญ่เอง ก็คือเหยื่อคนหนึ่งซึ่งมองไซเรนเหมือนกับได้เห็นชะตากรรมของตัวเองในอดีตอีกครั้ง Tag: Tag Exclusive , ซีรีส์ไทย , แก๊งสเตอร์ , แก่แต่แซ่บ , ตี๋ใหญ่ , Mono-Original https://www.monomax.me/title/96367-the-legendary-outlaw.html",https://www.monomax.me/title/96367-the-legendary-outlaw.html
series_4,"ซีรีส์เรื่อง รักเอย รักนี้ไม่มีสิ้นสุด Love infinity เป็นซีรีส์ : 50 นาที ประเภทเรท ทั่วไป ・ ดราม่า 11 ตอน นักแสดงนำ ได้แก่ อภัสนันท์ วรภิรมย์รักษ์ , อดุล เจริญรัศมีเกียรติ , ชิติพัทธ์ สรรพยานนท์ , เซลีน่า วรมน วีสมันน์ กำกับโดย วินัย ปฐมบูรณ์ เรื่องย่อคือ จากภาพยนตร์สุดคลาสสิครักโรแมนติกที่ตราตรึงอยู่ในหัวใจของผู้ชมมานานกว่า 20 ปี และภาพยนตร์เรื่องนี้ยังเป็นบทประพันธ์ สุดรักสุดหวงแหนของ มจ.ทิพยฉัตร ฉัตรชัย ที่ไม่เคยถูกจัดทำเป็นละครโทรทัศน์มาก่อน การกลับมาในครั้งนี้ บทประพันธ์ถูกปรับให้เข้ากับยุคสมัยที่เปลี่ยนไป “รักเอย” เรื่องราวความรักโรแมนติก ระหว่างชายหญิง 4 คน ที่บังเอิญเข้ามาเกี่ยวข้องกัน เริ่มจาก ""ตี่"" นักธุรกิจหนุ่มที่ได้เดินทางไปเชียงใหม่ แล้วได้พบกับ ""เจ้าน่อย"" ลูกสาวคนเดียวของ มจ.รวิพรรณ พัฒน์ระพี เจ้าของคุ้มและไร่ไวน์ส่งออกที่ใหญ่ที่สุดในเชียงใหม่ ตี่ตกหลุมรักเจ้าน่อยทั้งๆที่ตนมีภรรยาอยู่แล้ว ทั้งสองคบหากันอย่างเปิดเผยทำให้ ""เปี๊ยก"" ลูกของบ่าวคนสนิทที่คอยดูแลเจ้าน่อยมาตั้งแต่เล็ก กังวลว่าคนที่เขารักจะพบความผิดหวัง จึงพยายามจะเตือนเจ้าน่อยแต่เธอกลับไม่สนใจ จนวันหนึ่ง""ต้อม"" ภรรยาของตี่เพิ่งรู้ว่าตนตั้งท้อง จนรีบบินมาเชียงใหม่เพื่อพบตี่ แต่กลับมาเจอเจ้าน่อยและตี่อยู่ด้วยกัน เรื่องราวความรักของคนทั้งสี่จะจบลงเช่นไร โปรดติดตาม รักเอย รักนี้ไม่มีสิ้นสุด Tag: Tag Exclusive , ซีรีส์ไทย , Mono-Original https://www.monomax.me/title/96381-love-infinity.html",https://www.monomax.me/title/96381-love-infinity.html
series_5,"ซีรีส์เรื่อง นางฟ้าล่าผี ปี 1 Angels 1 เป็นซีรีส์ : 50 นาที ประเภทเรท ทั่วไป ・ สยองขวัญ 16 ตอน นักแสดงนำ ได้แก่ หยก ณัฐปภัสร์ , ณัฐปภัสร์ ธนาธนมหารัตน์ , รุจิเรศ บุญผ่องศรี , มัฒธณิตาศ์ เศวตวิทยะธาดากุล กำกับโดย เปลว ศิริสุวรรณ เรื่องย่อคือ Angels นางฟ้าล่าผี “แบม” (หยก-ณัฐปภัสร์) สาวห้าวที่มีสัมผัสพิเศษ ได้รับความช่วยเหลือจาก มิ้น (เอ็มมี่-มัฒธณิตาศ์) หญิงสาวดีกรีนักเรียนนอก ทายาทผู้สืบเชื้อสายจอมขมังเวทย์ตระกูลนักปราบผี มีคาถาอาคมและรอบรู้ในเรื่องลึกลับและภูติผีวิญญาณเป็นอย่างดี มิ้นตัดสินใจสานต่อธุรกิจรับกำจัดผีของพ่อ ไม่ให้สูญหาย เธอรวบรวมสมัครพรรคพวก คือ เอโกะ (มิ้นท์-รุจิเรศ) สาวลูกครึ่งไทย-ญี่ปุ่น ท่าทางเนิร์ด เป็นนักประดิษฐ์ประจำทีม สามารถประยุกต์เครื่องมือไฮเทค ให้เข้ากับเครื่องมือต่อสู้ผีแบบโบราณ ได้อย่างหลากหลาย แต่เป็นคนเดียวในทีมที่ไม่มีสัมผัสที่หก และ “แก้ว” (มีน-จุฬาสิณี) ผีสาวสวยที่เสียชีวิตไปโดยไม่รู้ตัวเมื่อร้อยกว่าปีที่แล้ว ทำให้เธอไม่สามารถไปผุดไปเกิดได้ แก้วร่วมทำงานในทีมนี้ เพราะมิ้นสัญญาว่าจะหาเงื่อนงำการตายของแก้วให้ และแก้วสามารถหายตัวล่องหนได้ Tag: Tag Exclusive , ซีรีส์ไทย , ซีรีส์เอเชีย , นางฟ้าล่าผี , ซีรีส์นี้มีผี , Mono-Original https://www.monomax.me/title/96364-angels-1.html",https://www.monomax.me/title/96364-angels-1.html
series_6,"ซีรีส์เรื่อง นางฟ้าล่าผี ปี 2 Angels 2 เป็นซีรีส์ : 45 นาที ประเภทเรท ทั่วไป ・ สยองขวัญ 12 ตอน นักแสดงนำ ได้แก่ ณัฐปภัสร์ ธนาธนมหารัตน์ , รุจิเรศ บุญผ่องศรี , เพ็ญพักตร์ ศิริกุล , วินัย ไกรบุตร กำกับโดย เปลว ศิริสุวรรณ เรื่องย่อคือ หลังจากที่สี่สาวต้องเผชิญหน้ากับวิญญาณหลวงสิงหราช แบมถูกแทงบาดเจ็บสาหัสจนนอนเป็นเจ้าหญิงนิทราในโรงพยาบาลโดยที่มีหมอท๊อปเป็นเจ้าของไข้มิ้นตัดสินใจจากกลุ่มแองเจิ้ลไปเพราะเชื่อว่าเธอเป็นต้นเหตุเรื่องร้ายต่างๆที่มาสู่เพื่อน แต่อีกด้านหนึ่ง วิญญาณของแบมยังอยู่ในโลกหลังความตายโดยที่มีวิญญาณร้าย “ ผีบุญเพ็ง”ฆาตกรต่อเนื่องในอดีตและลูกสมุนสาว พยายามล่อหลอกให้เธอตกอยู่ใต้อาณัติของมัน เอโกะพยายามใช้เครื่องมือถอดจิตของตนเข้าไปช่วยแต่ก็ไม่สามารถต่อสู้กับบุญเพ็งได้ พี่จอร์จจึงตัดสินใจพาเอโกะเดินทางไปขอความช่วยเหลือจาก อาพิมน้องสาวคนเล็กของพ่อ อาพิม หาข้อมูลเกี่ยวกับวิธีการที่จะช่วยแบมซึ่งกำลังหลงกลถูกบุญเพ็งใช้ด้ายสายสิจน์มัดข้อมือข้อเท้าเตรียมยัดร่างใส่ในหีบเหล็ก อาพิมและเอโกะช่วยแบมออกมาสำเร็จแต่ลืมปิดประตูโลกวิญญาณ….เปิดทางให้ผีบุญเพ็งและลูกสมุนได้หลุดเข้าสู่โลกมนุษย์ได้อย่างง่ายดาย Tag: Tag Exclusive , ซีรีส์ไทย , ซีรีส์เอเชีย , นางฟ้าล่าผี , ซีรีส์นี้มีผี , Mono-Original https://www.monomax.me/title/96383-angels-2.html",https://www.monomax.me/title/96383-angels-2.html
series_7,"ซีรีส์เรื่อง รูมเมท Roommate เป็นซีรีส์ : 45 นาที ประเภทเรท ทั่วไป ・ โรแมนติก 20 ตอน นักแสดงนำ ได้แก่ จิรายุ คันธยศ , อนุวัฒน์ จันทร์ตรี , ชลนที อักษรสิงห์ชัย , ณัฐนรี อนันต์ลักษณ์การ , ติ๊ก ชิโร่ กำกับโดย ฌอง สตอนจอน เรื่องย่อคือ Roommate (รูมเมท) เรื่องราวความสัมพันธ์ ความชุลมุนวุ่นรัก ระหว่าง 3 หนุ่ม กับ 2 สาว ทั้ง 5 คน ที่มีนิสัยต่างกันสุดขั้ว ที่บังเอิญต้องมาอยู่ร่วมบ้านเดียวกัน กว่าจะเรียนรู้ ยอมรับกันได้ ก็เกิดเรื่องวุ่นขึ้นมากมาย ทั้งสุข ทั้งเศร้า แต่นั่นก็ทำให้ทั้งหมดสนิทกันมากขึ้น แต่ที่สำคัญ!!!บ้านนี้ไม่ได้มีแค่คนอยู่ และคนเดียวที่รู้ ที่เห็นคือ “เคิร์ท”( ศรันยู ศรุติสุต) นักดนตรีมือกีตาร์ ลูกครึ่งไทยอเมริกัน ที่หนีมาจากอเมริกา ตามสัญญาที่ให้ไว้กับเพื่อนสมัยสิบปีก่อน ที่จะร่วมกันนำดนตรีแนวอินดี้อวกาศ ที่ตัวเองค้นพบให้เป็นที่รู้จัก และพยายามทุกทางที่จะทำให้มันดัง Tag: Tag Exclusive , ซีรีส์ไทย , Mono-Original https://www.monomax.me/title/96363-roommate.html",https://www.monomax.me/title/96363-roommate.html
series_8,"ซีรีส์เรื่อง Project X แฟ้มลับเกมสยอง เป็นซีรีส์ : 50 นาที ประเภทเรท ทั่วไป ・ สยองขวัญ 12 ตอน นักแสดงนำ ได้แก่ รัชชานนท์ เรือนเพชร์ , อนาวิล ชาติทอง , อรวีณ์ เหลือวิบูลย์พร กำกับโดย สราวุธ วิเชียรสาร เรื่องย่อคือ เรื่องราวของกลุ่มวัยรุ่นทั้ง 9 คน กับภารกิจต่างๆ ซึงได้รับคำสั่งจาก Admin ลึกลับ ที่จะคอยมอบภารกิจ และทุนอันมหาศาล เพื่อให้พวกเขาไปพิสูจน์ความจริงของสถานที่แต่ละแห่ง ซึ่งสถานที่เหล่านั้นเกี่ยวพันกับคดีที่ยังปิดไม่ลง หรือทำให้ต้องรื้อคดีที่ปิดไปแล้วขึ้นมาใหม่ และเป็นการกู้คืนความยุติธรรมให้แก่เหยื่อที่ถูกสังคมวิพากษ์วิจารณ์ Tag: Tag Exclusive , ซีรีส์ไทย , ซีรีส์เอเชีย , Project X , สยองขวัญ สั่นประสาท , ซีรีส์นี้มีผี , Mono-Original https://www.monomax.me/title/96382-project-x.html",https://www.monomax.me/title/96382-project-x.html
series_9,"ซีรีส์เรื่อง อรุณสวัสดิ์ Sunshine my friend เป็นซีรีส์ : 55 นาที ประเภทเรท ทั่วไป ・ ดราม่า 20 ตอน นักแสดงนำ ได้แก่ รัชชานนท์ เรือนเพ็ชร์ , ชาวดิน รัฐกาญจน์ , วัฒนา เอี่ยมวงศรี , กรุณพล เทียนสุวรรณ , พลอยพรรณ ทับทิมหล้า กำกับโดย ชานนท์ สมฤทธิ์ เรื่องย่อคือ การเลื่อนขึ้นชั้นมัธยมศึกษาปีที่ 6 ในปีการศึกษาใหม่กลายเป็นก้าวสำคัญที่นำความเปลี่ยนแปลงมาสู่ ภาสุ (รัชชานนท์ เรือนเพ็ชร์) เด็กหนุ่มที่ขาดความมั่นใจในตัวเอง เริ่มตั้งแต่การที่ต้องมาเรียนห้องเดียวกับเสมอเทพ (ชาวดิน รัฐกาญจน์)ลูกชายเศรษฐีมือสกปรก ความร่ำรวยและยิ่งใหญ่ของพ่อทำให้เสมอเทพ กลายเป็นจอมเกเรประจำโรงเรียน เสมอเทพ กับ ชาติเชื้อ (วัฒนา เอี่ยมวงศรี) และวันมงคล (พลช เงินยวง) เพื่อนสนิททั้งสองคนชักนำภาสุและฤกษ์ดี (นที พิทักษ์ ) เข้าไปในโลกใบใหม่ในวังวนอบายมุขของเสมอเทพที่ทั้งคู่ไม่เคยพานพบมาก่อน ทั้งเรื่องการแข่งรถบนถนนหลวงที่ผิดกฏหมาย การยกพวกตีกับคู่อริต่างโรงเรียน ภาสุนั้นกล้าลุกขึ้นมาแหกกฏเหล็กของเภา(กรุณพล เทียนสุวรรณ ) พ่อที่เข้มงวดและเคร่งเครียดสมกับเป็นนายตำรวจใหญ่ผู้เที่ยงตรง เพียงเพราะไม่อยากเป็นลูกแหง่ในสายตาของ เมขลา (พลอยพรรณ ทับทิมหล้า) เพื่อนร่วมชั้นคนใหม่ที่เพิ่งเข้ามาเรียนด้วย ภาสุรับเมขลาไว้ในหัวใจลุ่มหลง จนขาดสติยั้งคิด โดยที่ไม่เคยเคลือบแคลงใจ วาจาอ่อนหวานของเมขลานั้น ได้ซุกซ่อนตัวตนที่แท้จริงเอาไว้อย่างไร Tag: Tag Exclusive , ซีรีส์ไทย , ซีรีส์เอเชีย , Mono-Original https://www.monomax.me/title/96365-sunshine-my-friend.html",https://www.monomax.me/title/96365-sunshine-my-friend.html
series_10,"ซีรีส์เรื่อง น้ำใสใจจริง The Friendship เป็นซีรีส์ : 48 นาที ประเภทเรท ทั่วไป ・ ดราม่า 16 ตอน นักแสดงนำ ได้แก่ ชิติพัทธ์ สรรพยานนท์ , ชนกันต์ พูนศิริวงศ์ , ชลนที อักษรสิงห์ชัย , ปฏิพัทธ์ กิตติกถากุล , สุพจน์ จันทร์เจริญ , สุทธิดา เกษมสันต์ ณ อยุธยา กำกับโดย น้องนุช ชวาลา เรื่องย่อคือ เรื่องราวเกี่ยวกับความผูกพันของเหล่าวัยเรียนนักศึกษากลุ่มหนึ่ง ที่ต่างคนมาจากต่างถิ่นและได้มาเรียนที่มหาวิทยาลัยเดียวกันในกรุงเทพ แม้ว่านิสัยของพวกเขาจะแตกต่างกันตามสไตล์ของตนเอง แต่ความแตกต่างนั้นพวกเขาก็สามารถอยู่ร่วมกันได้อย่างมีความสุข จะเป็นการถ่ายทอดเกี่ยวกับมิตรภาพของเพื่อน ไม่ว่าจะสุขหรือทุกข์ก็พร้อมที่จะฝ่าฟันได้ด้วยกันเสมอ เพราะพวกเขาคือเพื่อนกัน ซึ่งมิตรภาพของวัยรุ่นกลุ่มนี้จะทำให้คุณซาบซึ้งมากสักเท่าใดนั้น ต้องคอยติดตามชมในละคร น้ำใสใจจริง Tag: Tag Exclusive , ซีรีส์ไทย , ซีรีส์เอเชีย , รักวุ่น ๆ , หนังวัยรุ่น วัยว้าวุ่น , Mono-Original https://www.monomax.me/title/96380-the-friendship.html",https://www.monomax.me/title/96380-the-friendship.html
